x,y
19.871471962,-1.409575721
20.197354982,-1.269048952
20.204480618,-1.126268480
20.054600565,-1.038799235
19.831219646,-0.949812330
19.537612307,-0.855555600
19.169056150,-0.759284245
18.720615734,-0.664458982
18.187355615,-0.574540526
17.565568289,-0.493065079
16.893468071,-0.426091587
16.528433515,-0.397384554
16.166297060,-0.373889659
15.773329397,-0.351668266
15.352325695,-0.330568368
14.907159134,-0.310548556
14.441702896,-0.291567421
13.959830161,-0.273583552
13.465414110,-0.256555540
12.962327925,-0.240441977
12.454444786,-0.225201451
11.945637874,-0.210792555
11.439780370,-0.197173878
10.940745454,-0.184304011
10.452406309,-0.172141544
9.978636114,-0.160645067
9.523308050,-0.149773172
9.090295299,-0.139484449
8.683471042,-0.129737489
8.305912809,-0.120475168
